"object" "mean" "min" "max" "execution" "treatment" "dependentVariable"
"68" 0.7419992923737 0.65244102478 0.809587955475 "Reproduction" "Decomp" "time"
"89" 0.7626663208008 0.712547063828 0.805293083191 "Reproduction" "Decomp" "time"
"116" 0.7702540874481 0.718960046768 0.814844846725 "Reproduction" "Decomp" "time"
"151" 0.7577067136765 0.69779586792 0.783077001572 "Reproduction" "Decomp" "time"
"197" 0.7593219518661 0.714631795883 0.799538135529 "Reproduction" "Decomp" "time"
"256" 0.7610280275345 0.706338882446 0.811862945557 "Reproduction" "Decomp" "time"
"332" 0.8234111070633 0.767559051514 0.8594789505 "Reproduction" "Decomp" "time"
"432" 0.8364275932313 0.747889041901 0.876987934113 "Reproduction" "Decomp" "time"
"562" 0.873360323906 0.800145864487 0.915751218796 "Reproduction" "Decomp" "time"
"731" 0.8992140769958 0.833034038544 0.940109968185 "Reproduction" "Decomp" "time"
"951" 0.9654112100603 0.903591156006 1.01541209221 "Reproduction" "Decomp" "time"
"1236" 0.9985731840122 0.952544927597 1.02749586105 "Reproduction" "Decomp" "time"
"1607" 1.092835211755 1.00546383858 1.14345312119 "Reproduction" "Decomp" "time"
"2089" 1.190526771544 1.1306271553 1.26600503922 "Reproduction" "Decomp" "time"
"2716" 1.351026630402 1.28367209435 1.42721605301 "Reproduction" "Decomp" "time"
"3531" 1.483893275259 1.41730904579 1.55504488945 "Reproduction" "Decomp" "time"
"4590" 1.710460472106 1.65264415741 1.75954294205 "Reproduction" "Decomp" "time"
"5967" 2.057302689551 2.00800800323 2.12169718742 "Reproduction" "Decomp" "time"
"7757" 2.397247695924 2.31825399399 2.46292304993 "Reproduction" "Decomp" "time"
"10085" 2.915605330468 2.86783909798 2.97653794289 "Reproduction" "Decomp" "time"
"13110" 3.555790042876 3.43555212021 3.66809296608 "Reproduction" "Decomp" "time"
"17043" 4.411462020874 4.32815814018 4.48071789742 "Reproduction" "Decomp" "time"
"22157" 5.550147604941 5.39925789833 6.07871007919 "Reproduction" "Decomp" "time"
"28804" 6.920914435387 6.78064393997 7.1202750206 "Reproduction" "Decomp" "time"
"37445" 8.727449989318 8.61731696129 9.0439851284 "Reproduction" "Decomp" "time"
"48679" 11.24817292691 11.0437209606 11.5118570328 "Reproduction" "Decomp" "time"
"63282" 14.20194046496 14.1119291782 14.3343999386 "Reproduction" "Decomp" "time"
"82267" NA NA NA "Reproduction" "Decomp" "time"
"106948" NA NA NA "Reproduction" "Decomp" "time"
"139032" NA NA NA "Reproduction" "Decomp" "time"
"180742" NA NA NA "Reproduction" "Decomp" "time"
"31" 0.7370949268343 0.692904949188 0.772919893265 "Reproduction" "Hylaa" "time"
"40" 0.7431680440903 0.710438013077 0.80641579628 "Reproduction" "Hylaa" "time"
"53" 0.7543799638747 0.699748039246 0.815697908401 "Reproduction" "Hylaa" "time"
"68" 0.7644784688949 0.737627029419 0.804613113403 "Reproduction" "Hylaa" "time"
"89" 0.7796074151993 0.72730588913 0.837713956833 "Reproduction" "Hylaa" "time"
"116" 0.7855973720549 0.730582952499 0.819319963455 "Reproduction" "Hylaa" "time"
"151" 0.7718092203141 0.73505115509 0.818819046021 "Reproduction" "Hylaa" "time"
"197" 0.777667427063 0.699463844299 0.833823204041 "Reproduction" "Hylaa" "time"
"256" 0.7970329999924 0.730000972748 0.854249000549 "Reproduction" "Hylaa" "time"
"332" 0.7681974172593 0.711594104767 0.805788993835 "Reproduction" "Hylaa" "time"
"432" 0.8107497930526 0.724658966064 0.854440927505 "Reproduction" "Hylaa" "time"
"562" 0.8210983753205 0.767268896103 0.87456703186 "Reproduction" "Hylaa" "time"
"731" 0.8668062448501 0.804481983185 0.895636081696 "Reproduction" "Hylaa" "time"
"951" 0.8888238906861 0.835555791855 0.938790082932 "Reproduction" "Hylaa" "time"
"1236" 0.9761788368224 0.916569948196 1.02617907524 "Reproduction" "Hylaa" "time"
"1607" 1.060442185402 1.02418994904 1.10312008858 "Reproduction" "Hylaa" "time"
"2089" 1.085403156281 1.03246498108 1.12497806549 "Reproduction" "Hylaa" "time"
"2716" 1.243748641014 1.15342998505 1.28724789619 "Reproduction" "Hylaa" "time"
"3531" 1.349807333946 1.3194038868 1.38221311569 "Reproduction" "Hylaa" "time"
"4590" 1.500477528573 1.44831490517 1.52645015717 "Reproduction" "Hylaa" "time"
"5967" 1.767022109032 1.7062420845 1.81743597984 "Reproduction" "Hylaa" "time"
"7757" 2.077476406097 2.01902890205 2.11811685562 "Reproduction" "Hylaa" "time"
"10085" 2.502888703346 2.45962786674 2.53767895699 "Reproduction" "Hylaa" "time"
"13110" 3.049691486358 2.9385638237 3.43014192581 "Reproduction" "Hylaa" "time"
"17043" 3.70226535797 3.62893295288 3.76269888878 "Reproduction" "Hylaa" "time"
"22157" 4.592543911932 4.49100208282 4.67862510681 "Reproduction" "Hylaa" "time"
"28804" 5.771498990059 5.65404605865 5.92555499077 "Reproduction" "Hylaa" "time"
"37445" 7.208603620529 7.07246303558 7.35593295097 "Reproduction" "Hylaa" "time"
"48679" 9.134509158134 8.98211407661 9.27154302597 "Reproduction" "Hylaa" "time"
"63282" 11.79832429887 11.594974041 12.0624599457 "Reproduction" "Hylaa" "time"
"82267" NA NA NA "Reproduction" "Hylaa" "time"
"106948" NA NA NA "Reproduction" "Hylaa" "time"
"139032" NA NA NA "Reproduction" "Hylaa" "time"
"180742" NA NA NA "Reproduction" "Hylaa" "time"
"31" 0.7187456846236 0.656212806702 0.769049167633 "Reproduction" "No Input" "time"
"40" 0.748886680603 0.65282702446 0.791496038437 "Reproduction" "No Input" "time"
"53" 0.7577392101288 0.681921958923 0.836819171906 "Reproduction" "No Input" "time"
"68" 0.7921607255935 0.740432977676 0.819802045822 "Reproduction" "No Input" "time"
"89" 0.727963256836 0.640799045563 0.773373842239 "Reproduction" "No Input" "time"
"116" 0.7469648122788 0.701237916946 0.779555082321 "Reproduction" "No Input" "time"
"151" 0.7634859800338 0.723851919174 0.793781995773 "Reproduction" "No Input" "time"
